(Respeten orden alfa y escriban tal cual como esta en la página [mayúsculas, tildes, etc])
formato: (personaje; alado:NORMAL:/data/personaje/normal.jpg, alado: LAT:/data/personaje/lat.jpg, alado:UP:/data/mario/up.jpg, alado:DOWN: /data/personaje/down.jpg; alado: /data/personaje/final.jpg; personaje.jpg; descripcion CHATGPT)
INDICE;NOMBRE;MOVIMIENTOS;FINALSMASH;IMAGEN;DESCRIPCION;PREGUNTAS;RESPUESTAS
17;Dr. Mario; Megavitaminas:NORMAL:/data/dr_mario/normal.jpg, Supersábana: LAT:/data/dr_mario/lat.jpg, Supersalto Puñetazo:UP:/data/dr_mario/up.jpg, Dr. Tornado:DOWN: /data/dr_mario/down.jpg; Dr. Mario Final: /data/dr_mario/final.jpg;dr_mario.png; Su presencia en el juego es un homenaje a los juegos clásicos de "Dr. Mario," y su estilo de lucha combina estrategia y precisión;¿De que color no son los virus que aparecen en el juego de Dr Mario?;Verde,Rojo,Azul,Amarillo
1;Ivysaur;Recurrente:NORMAL:/data/ivysaur/normal.jpg,Hoja Afilada:LAT:/data/ivysaur/lat.jpg,Látigo Cepa:UP:/data/ivysaur/up.jpg,Cambio de Pokémon:DOWN:/data/ivysaur/down.jpg;Remate Triple:/data/ivysaur/final.jpg;ivysaur.jpg; Es un pokemon de tipo planta y veneno, la evolucion de bubasaur y la pre evolucion de Venusaur, tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande;¿De que tipo es Ivysaur?; Planta y Veneno,Planta,Veneno,Planta y Agua
2;Rosalina y Destello;Tiro Destello:NORMAL:/data/esteladestello/normal.jpg,Trozos de estrella:LAT:/data/esteladestello/lat.jpg, Salto Estelar:UP:/data/esteladestello/up.jpg, Antigravedad:DOWN:/data/esteladestello/down.jpg;Hiperestrella:/data/esteladestello/final.jpg;rosalina_and_luma.jpg; Rosalina y Destello, dos espíritus celestiales, brindan apoyo y defensa a los luchadores en Super Smash Bros. Ultimate;¿En cual juego aparece Rosalina por primera vez?;Super Mario Galaxy,Super Mario Galaxy 2,Super Mario 3D World,Super Mario 3D Land
3;Falco;Blaster:NORMAL:/data/falco/normal.jpg,Fantasma Falco:LAT:/data/falco/lat.jpg,Pájaro de fuego:UP:/data/falco/up.jpg, Reflector:DOWN:/data/falco/down.jpg;Equipo Star Fox:/data/falco/final.jpg;falco.jpg; Falco, un piloto habilidoso, usa velocidad y ataques láser en Super Smash Bros. Ultimate para dominar el aire;¿En que equipo se encuentra Falco?;Star fox,Galaxy Falco,Star Wolf,Sky Frog
4;Fox;Blaster:NORMAL:/data/fox/normal.jpg, Ilusión Fox:LAT:/data/fox/lat.jpg, Fox de Fuego:UP:/data/fox/up.jpg, Reflector:DOWN:/data/fox/down.jpg; Equipo Star Fox:/data/fox/final.jpg;fox.jpg;Fox es un luchador ágil y rápido con ataques precisos y un potente movimiento especial, Reflector;¿Cual es el padre de Fox?;James,Jaime,Fox III,Jameson
5;Ganondorf;Puñetazo del hechicero:NORMAL:/data/ganon/normal.jpg, Estrangulamiento:LAT:/data/ganon/lat.jpg, Salto Oscuro:UP:/data/ganon/up.jpg, Patada del hechicero:DOWN:/data/ganon/down.jpg; Ganon, el rey demonio:/data/ganon/final.jpg;ganondorf.jpg;Ganondorf es un villano poderoso de la serie Zelda, conocido por su fuerza y ataques devastadores;¿En cual juego Ganondorf no aparece?;Skyward Sword,Wind Waker,Twilight Princess,Ocarina of Time
6;Greninja; Shuriken de agua:NORMAL:/data/grenin/normal.jpg, Sombra vil:LAT:/data/grenin/lat.jpg, Hidrobomba:UP:/data/grenin/up.jpg, Sustituto:DOWN:/data/grenin/down.jpg;Técnica Floral Ninja:/data/grenin/final.jpg;greninja.jpg;Greninja, el rápido y astuto Pokémon de tipo Agua/Siniestro, deslumbra con movimientos ninja y ataques precisos;¿Contra que tipo de Pokemon es débil Greninja?;Lucha,Fuego,Fantasma,Siniestro
7;Ice Climbers;Golpe Iceberg:NORMAL:/data/ice/normal.jpg, Ráfaga Martillo: LAT:/data/ice/lat.jpg,Salto con Cuerda:UP:/data/ice/up.jpg,Ventisca:DOWN: /data/ice/down.jpg;Iceberg: /data/ice/final.jpg; ice_climbers.jpg; Ice Climbers son dúo esquiador y montañero, trabajan juntos para ataques sincronizados y controlar el escenario;¿Como se llaman los Ice Climbers?;Nana y Popo,Nana y Poo,Nia y Popo,Nana y Pochita
8;Ike;Erupción:NORMAL:/data/ike/normal.jpg, Espadazo: LAT:/data/ike/lat.jpg, Éter:UP:/data/ike/up.jpg, Contrataque:DOWN: /data/ike/down.jpg; Gran Éter: /data/ike/final.jpg; ike.jpg;Ike es un poderoso espadachín con ataques lentos pero devastadores en Super Smash Bros. Ultimate;¿Cual de los siguientes es un familiar de Ike?;Greil,Soren,Volke,Ilyana
9;Incineroar;Lariat Oscuro:NORMAL:/data/inc/normal.jpg, Contra las Cuerdas: LAT:/data/inc/lat.jpg, Tajo Cruzado:UP:/data/inc/up.jpg, Desquite:DOWN: /data/inc/down.jpg; Hiperplancha Oscura X: /data/inc/final.jpg; incineroar.png;Incineroar, un feroz Pokémon de tipo Fuego/Lucha, usa movimientos poderosos y teatrales para derrotar a sus oponentes;¿A que region perteneces Incineroar?;Alola,Kalos,Galar,Hisui
10;Inkling;Lanzatintas:NORMAL:/data/inkl/normal.jpg, Rodillo básico: LAT:/data/inkl/lat.jpg, Supersalto:UP:/data/inkl/up.jpg, Bomba Básica:DOWN: /data/inkl/down.jpg; Tintófono: /data/inkl/final.jpg; inkling.jpg; Los Inklings de Splatoon son rápidos, usan tinta y transforman en calamar para moverse ágilmente;¿En que especie esta basada la Inkling?;Calamar,Pulpo,Tiburon,Ballena
11;Isabelle;Bolsillo:NORMAL:/data/isa/normal.jpg, Caña de pescar: LAT:/data/isa/lat.jpg, Columpio de globos:UP:/data/isa/up.jpg, Trampa Giroide:DOWN: /data/isa/down.jpg; La alcaldía de mis sueños:/data/La alcaldía de mis sueños/final.jpg;isabelle.png; Isabelle es una luchadora alegre de Animal Crossing con movimientos centrados en herramientas y trampas ingeniosas;¿Cual de los siguientes empleos tiene Isabelle?;Secretaria,Presidenta,Profesora,Ingeniera
12;Jigglypuff;Desenrollar:NORMAL:/data/jigglypuff/normal.jpg,Destructor:LAT:/data/jigglypuff/lat.jpg,Canto:UP:/data/jigglypuff/up.jpg,Descanso:DOWN:/data/jigglypuff/down.jpg;Globo:/data/jigglypuff/final.jpg;jigglypuff.jpg;Jigglypuff, la dulce y esponjosa luchadora, hipnotiza con su canto y deslumbra con su rápida agilidad aérea. ¡Una rival encantadora!;¿Con que pieda evoluciona Jigglypufgf?;Piedra Lunar, Piedra Agua,Piedra Solar,Piedra Espacial
60;Ken;Hadoken:NORMAL:/data/ken/normal.jpg,Tatsumaki Senpukyaku:LAT:/data/ken/lat.jpg,Shoryuken:UP:/data/ken/up.jpg,Ataque Focus:DOWN:/data/ken/down.jpg;Shippu Jinraikyaku - Shinryuken:/data/ken/final.jpg;ken.jpg;Ken, el fiero maestro del puño ardiente, despliega una combinación explosiva de técnicas de artes marciales y potentes llamas. Su ferocidad es inigualable;¿Como se llama la hija de Ken?;Mel,Eliza,Melissa,Melany
67;King K. Rool ;Trabuco pirata:NORMAL:/data/kingkrool/normal.jpg,Corona bumerán:LAT:/data/kingkrool/lat.jpg,Roolcóptero:UP:/data/kingkrool/up.jpg,Panza real:DOWN:/data/kingkrool/down.jpg;Machacadora:/data/kingkrool/final.jpg;king_k_rool.jpg;King K. Rool, el rey pirata de los Kremlings, embiste con fuerza y emplea trampas ingeniosas. Su imponente presencia domina el campo de batalla con astucia y poderío;¿En cuál juego de Donkey Kong, King K Rool se disfraza de pirata?;Donkey Kong Country 2, Donkey Kong Country, Donkey Kong Pirate War, Donkey Kong Jr
6;Kirby;Tragar:NORMAL:/data/kirby/normal.jpg,Martillo:LAT:/data/kirby/lat.jpg,Corte final:UP:/data/kirby/up.jpg,Piedra:DOWN:/data/kirby/down.jpg;Gran espada:/data/kirby/final.jpg;kirby.jpg;Kirby, la adorable bola rosa, absorbe poderes de sus enemigos y los usa con maestría. Su versatilidad y agilidad lo hacen impredecible y letal en el combate;¿Cuál no es el nombre de un amigo animal de Kirby?;Potch,Chuchu,Coo,Rick
3;Link;Arco y flechas:NORMAL:/data/link/normal.jpg,Bumerán:LAT:/data/link/lat.jpg,Ataque circular:UP:/data/link/up.jpg,Bomba remota:DOWN:/data/link/down.jpg;Arco y flecha ancestrales:/data/link/final.jpg;link.jpg;Link, el valiente guerrero de Hyrule, empuña la legendaria Espada Maestra y usa un arsenal de armas. Su determinación y habilidades lo convierten en un formidable contendiente en la batalla;¿En cuál de los siguientes juegos,Link se convierte en lobo?;Twillight princess,Skyward Sword, Majora Mask,Wind Waker
49;Little Mac;Directo concentrado:NORMAL:/data/littlemac/normal.jpg,Impacto directo:LAT:/data/littlemac/lat.jpg,Gancho demoledor:UP:/data/littlemac/up.jpg,Guardia:DOWN:/data/littlemac/down.jpg;Asalto Giga Mac:/data/littlemac/final.jpg;little_mac.jpg;Little Mac, el boxeador prodigioso, despliega una rapidez y fuerza excepcionales. Aprovecha su agilidad terrestre para conectar golpes devastadores y dominar el ring con ferocidad inigualable;¿Cuál es un oponente secreto de la saga Punch Out?;Donkey Kong, Mr Sandman, Mike Tyson, Super Macho Man
41;Lucario;Esfera aural:NORMAL:/data/lucario/normal.jpg,Palmeo:LAT:/data/lucario/lat.jpg,Velocidad extrema:UP:/data/lucario/up.jpg,Doble equipo:DOWN:/data/lucario/down.jpg;Tormenta aural:/data/lucario/final.jpg;lucario.jpg;Lucario, el guerrero con energía espiritual, canaliza su aura para aumentar su fuerza con cada golpe recibido. Su poder crece con la determinación, convirtiéndolo en un rival formidable;¿Mediante que metodo Riolu evoluciona a Lucario?;Nivel,Amistad,Piedra,MT
37;Lucas;Hielo PSI:NORMAL:/data/lucas/normal.jpg,Fuego PSI:LAT:/data/lucas/lat.jpg,Trueno PSI:UP:/data/lucas/up.jpg,Imán PSI:DOWN:/data/lucas/down.jp;Tormenta estelar:/data/lucas/final.jpg;lucas.jpg;Lucas, el sensible psíquico, controla el poder del PSI con habilidades telequinéticas. Su valentía y empatía lo convierten en un luchador poderoso con ataques sorprendentes y tácticas ingeniosas;¿Cuál es el elemento clave en los ataques de Lucas en Super Smash Bros que lo diferencia de otros personajes?;PSI,Fuego,Agua,PSE
21;Lucina;Rompescudos:NORMAL:/data/lucina/normal.jpg,Danza del sable:LAT:/data/lucina/lat.jpg,Tajo delfín:UP:/data/lucina/up.jpg,Contraataque:DOWN:/data/lucina/down.jpg;Golpe crítico:/data/lucina/final.jpg;lucina.jpg;Lucina, la espadachina con sangre noble, lucha con gracia y precisión. Su velocidad y agilidad combinadas con la Falchion la convierten en una rival formidable en el campo de batalla;¿Cuál es un familiar fijo de Lucina?;Lissa,Morgan,Owain,Marth
9;Luigi;Bola de fuego:NORMAL:/data/luigi/normal.jpg,Misil verde:LAT:/data/luigi/lat.jpg,Supersalto Puñetazo:UP:/data/luigi/up.jpg,Ciclón Luigi:DOWN:/data/luigi/down.jpg;Succionaentes 5000:/data/luigi/final.jpg;luigi.jpg;Luigi, el hermano valiente pero a veces temeroso de Mario, sorprende con saltos altos y habilidades únicas. Su presencia en la batalla es sinónimo de inesperadas jugadas y sorpresas;¿Como se llama el personaje que ayuda a Luigi en Luigi's Mansion?;Profesor Fesor,Toadstool,Mario,Yoshi
46;Mega Man;Hoja de metal:NORMAL:/data/megaman/normal.jpg,Bomba de choque:LAT:/data/megaman/lat.jpg,Resorte Rush:UP:/data/megaman/up.jpg,Escudo de hojas:DOWN:/data/megaman/down.jpg;Mega Leyendas:/data/megaman/final.jpg;mega_man.jpg;Mega Man, el valiente robot luchador, utiliza una variada gama de armas copiadas de sus enemigos. Su habilidad para adaptarse y su agilidad mecánica lo hacen una amenaza impredecible en el campo de batalla;¿Quien es el padre de Mega Man?; Dr. Light,Dr. Willy, Dr. Jhon, Dr. James
27;Meta Knight;Supertornado:NORMAL:/data/metaknight/normal.jpg,Turbotaladro:LAT:/data/metaknight/lat.jpg,Lanzadera:UP:/data/metaknight/up.jpg,Capa dimensional:DOWN:/data/metaknight/down.jpg;Espejismo oscuro:/data/metaknight/final.jpg;meta_knight.jpg;Meta Knight, el enigmático caballero galáctico, desafía con su espada Galaxia y habilidades aéreas excepcionales. Su agilidad y astucia estratégica lo convierten en un oponente formidable en el combate.; ¿Qué poder Kirby se ve obligado a usar cuando lucha contra Meta Knight?; Espada, Fuego, Caballero, Escudo
121;Marth;Rompescudos:NORMAL:/data/marth/normal.jpg,Danza del sable:LAT:/data/marth/lat.jpg,Tajo delfín:UP:/data/marth/up.jpg,Contraataque:DOWN:/data/marth/down.jpg;Golpe crítico:/data/marth/final.jpg;marth.jpg;Marth, el noble espadachín de Altea, se destaca por su gracia y precisión con la legendaria Falchion. Su habilidad para calcular ataques letales lo convierte en un rival excepcional.; ¿Quien es la esposa de Marth?;Shiida,Athena,Norne,Lena
24;Mewtwo;Bola Sombra:NORMAL:/data/mewtwo/normal.jpg,Confusión:LAT:/data/mewtwo/lat.jpg,Teletransporte:UP:/data/mewtwo/up.jpg,Anulación:DOWN:/data/mewtwo/down.jpg;Onda Mental:/data/mewtwo/final.jpg;mewtwo.jpg;Mewtwo, el poderoso Pokémon psíquico, controla energías extraordinarias. Su inteligencia y habilidades telequinéticas lo convierten en un adversario formidable en el campo de batalla.;¿Cuál es el Pokémon que fue clonado para crear a Mewtwo?; Mew, Mewne, Wem, Hubba
26;Mr. Game & Watch;Chef:NORMAL:/data/mrgame/normal.jpg,Juez:LAT:/data/mrgame/lat.jpg,Fuego:UP:/data/mrgame/up.jpg,Balde:DOWN:/data/mrgame/down.jpg;Pulpo:/data/mrgame/final.jpg;mr_game_and_watch.jpg;Mr. Game & Watch, el singular luchador de píxeles, despliega una variedad de ataques sorprendentes. Su estilo impredecible y técnicas únicas lo hacen una elección interesante en la arena de combate;¿En que lugar aparece Mr Game and Watch en Super Smash Bros Brawl en el modo Emisario Subespacial?;Hal Abarda,Dream Land,Game and Watch,Valle del Paramo
80;Mythra;Ruina Relámpago:NORMAL:/data/mythra/normal.jpg,Filo Fotónico:LAT:/data/mythra/lat.jpg,Rayo de la Penitencia - Polvo Cromático:UP:/data/mythra/up.jpg,Cambio :DOWN:/data/mythra/down.jpg;Flecha Sagrada :/data/mythra/final.jpg;mythra.jpg;Mythra, la veloz y poderosa Aegis, deslumbra con su destreza en la espada Aion. Su velocidad relámpago y precisión letal la convierten en una oponente formidable en el campo de batalla;¿Durante cuantos años duerme Mythra en Xenoblade Chronicles 2?;500,400,450,515
10;Ness;Destello PSI:NORMAL:/data/ness/normal.jpg,Fuego PSI:LAT:/data/ness/lat.jpg,Trueno PSI:UP:/data/ness/up.jpg,Imán PSI:DOWN:/data/ness/down.jp;Tormenta estelar:/data/ness/final.jpg;ness.jpg;Ness, el joven psíquico de Onett, emplea poderes PSI y su confiable bate. Su versatilidad y ataques devastadores hacen de él un competidor sorprendente y formidable en el Smash Bros;¿Como se llama el vecino de Ness?;Porky,Lucas,Ninten,Apolo
4;Samus;Disparo cargado:NORMAL:/data/samus/normal.jpg,Misil:LAT:/data/samus/lat.jpg,Ataque espiral:UP:/data/samus/up.jpg, Bomba:DOWN:/data/samus/down.jpg;Láser zero: /data/samus/final.jpg;samus.png; Samus, la cazarrecompensas intergaláctica, lucha con su icónico traje de energía y arsenal tecnológico devastador;¿En cuál Metroid aparece por primera vez la cria Metroid salvada por Samus?;Metroid 2,Metroid Other M, Metroid Fusion,Metroid
16;Sheik;Tormenta de cuchillas:NORMAL:/data/sheik/normal.jpg,Granada fulminante:LAT:/data/sheik/lat.jpg,Desaparición:UP:/data/sheik/up.jpg, Salto delfín:DOWN:/data/sheik/down.jpg;Danza sheika: /data/sheik/final.jpg;sheik.png; La misteriosa guerrera ninja emplea velocidad y agilidad sobrenatural en combate manteniendo su identidad en secreto;¿Quien es Sheik en The Legend of Zelda Ocarina of Time?;Zelda,Ganondorf,Link,Malon
57;Shulk;Artes de Monado:NORMAL:/data/shulk/normal.jpg,Ataque dorsal:LAT:/data/shulk/lat.jpg,Ataque aéreo:UP:/data/shulk/up.jpg,Premonición:DOWN:/data/shulk/down.jpg;Cadena:/data/shulk/final.jpg;shulk.png;La espada Monado le brinda a Shulk un arsenal de habilidades estratégicas a su disposición;¿Cuál de los contraataques de Shulk es imbloqueable?;Premonición,Ataque Aéreo,Artes de Monado,Cadena
66;Simon;Hacha:NORMAL:/data/simon/normal.jpg,Cruz:LAT:/data/simon/lat.jpg,Gancho:UP:/data/simon/up.jpg,Agua bendita:DOWN:/data/simon/down.jpg;Gran Cruz:/data/simon/final.jpg;simon.png;El valiente cazavampiros Simon Belmont se enfrenta a las tinieblas usando su látigo sagrado;¿Como se llama el nieto de Simon?;Juste,Richter,Trevor,Cristopher
31;Snake;Granada:NORMAL:/data/snake/normal.jpg,Misil por control remoto:LAT:/data/snake/lat.jpg,Cypher:UP:/data/snake/up.jpg,C4:DOWN:/data/snake/down.jpg;Fuego de cobertura:/data/snake/final.jpg;snake.png;El legendario espía Snake usa su armamento para sus misiones a distancia;¿Como es conocido el gran francotirador con el que se enfreta Snake en Metal Gear Solid 3?;The End,The World,The grandpa,End of World
38;Sonic;Ataque teledirigido:NORMAL:/data/sonic/normal.jpg,Torbellino:LAT:/data/sonic/lat.jpg,Salto del resorte:UP:/data/sonic/up.jpg,Carga torbellino:DOWN:/data/sonic/down.jpg;Super Sonic:/data/sonic/final.jpg;sonic.png; El erizo azul desata su velocidad supersónica junto a ataques giratorios en frenéticos combates;¿Cuáles son los escenarios propios de Sonic?;Green Hill y Labyrinth Zone,Green Hill y Scrap Earth Zone,Green Hill y Aquatic Day Zone,Green Hill y Chaos Island Zone
33;Squirtle;Pistola agua:NORMAL:/data/squirtle/normal.jpg,Refugio:LAT:/data/squirtle/lat.jpg,Cascada:UP:/data/squirtle/up.jpg,Cambio de Pokémon:DOWN:/data/squirtle/down.jpg;Remate Triple:/data/squirtle/final.jpg;squirtle.png; Squirtle, el Pokémon tortuga. Cuando se siente en peligro, se esconde en su caparazón y escupe chorros de agua por la boca;¿Cuál es la habilidad oculta de Squirtle?;Cura lluvia,Humedad,Tenacidad,Torrente
39;Toon Link;Arco del héroe:NORMAL:/data/toonlink/normal.jpg,Búmeran:LAT:/data/toonlink/lat.jpg,Ataque circular:UP:/data/toonlink/up.jpg,Bomba:DOWN:/data/toonlink/down.jpg;Golpe Trifuerza:/data/toonlink/final.jpg;toon_link.png; Toon Link, la encarnación animada de Link, usa su espada y objetos de The Wind Waker similares a su contraparte;¿Como se llama la hermana de Toon Link?;Abril,Febrero,Tetra,April
30;Wario;Mordida:NORMAL:/data/wario/normal.jpg,Moto de Wario:LAT:/data/wario/lat.jpg,Sacacorchos:UP:/data/wario/up.jpg,Tufo Wario:DOWN:/data/wario/down.jpg;Wario Man:/data/wario/final.jpg;wario.png; El alocado y avaricioso Wario causa estragos con sus ataques explosivos y grotescos;¿Cuál es un amigo de Wario?;Mona,Danikyo,Mario,Bowser
47;Entrenadora de Wii Fit;El saludo al sol:NORMAL:/data/wiifit/normal.jpg,Cabeceo:LAT:/data/wiifit/lat.jpg,Aros mágicos:UP:/data/wiifit/up.jpg,Respiración profunda:DOWN:/data/wiifit/down.jpg;Wii Fit:/data/wiifit/final.jpg;wii_fit_trainer.png; Una instructora de fitness con movimientos únicos que promueve la salud y el bienestar;¿Cuál fue la primera consola en la que aparecio la entrenadora wii fit?;Wii,Nintendo 3DS,Supernintendo 64,Wii U
